filltype,fill,ndatapts,ttotal,tksearch,tfrsearch,tprocessing,listmethod,memory,method
clusters4,11,27648,0.326938,0.14955,0.126226,0.000683554,-1,28.656000000000002,ANN-NL
clusters4,11,27648,0.339446,0.15651400000000001,0.13234200000000002,0.0006837330000000001,-1,28.588,ANN-NL
clusters4,11,27648,0.324024,0.1486,0.12606199999999998,0.000678352,-1,28.62,ANN-NL
clusters6,11,27648,0.22988000000000003,0.10325,0.0778691,0.0006839530000000001,-1,23.424,ANN-NL
clusters6,11,27648,0.22935100000000003,0.102927,0.0770918,0.0006834969999999999,-1,23.348,ANN-NL
clusters6,11,27648,0.23081,0.10344600000000001,0.07801,0.000694693,-1,23.456,ANN-NL
clusters6,11,27648,0.24196399999999998,0.108903,0.08301010000000002,0.0008075339999999999,-1,23.56,ANN-NL
clusters6,11,27648,0.23597800000000002,0.106525,0.0801224,0.0007090719999999999,-1,23.512,ANN-NL
clusters5,51,128000,2.04873,0.9758870000000001,0.863786,0.00324955,-1,130.808,ANN-NL
clusters5,51,128000,2.07832,0.9845700000000001,0.871183,0.00317159,-1,130.88400000000001,ANN-NL
clusters5,51,128000,2.12341,1.00906,0.892351,0.00341294,-1,130.88400000000001,ANN-NL
clusters5,51,128000,2.05792,0.9780280000000001,0.867093,0.00315923,-1,130.644,ANN-NL
clusters5,51,128000,2.06546,0.978925,0.865519,0.00320352,-1,130.708,ANN-NL
clusters10,51,128000,1.86297,0.9139510000000001,0.729034,0.00327266,-1,111.56400000000001,ANN-NL
clusters10,51,128000,1.79273,0.8810690000000001,0.6994090000000001,0.00320059,-1,111.71600000000001,ANN-NL
clusters10,51,128000,1.7997400000000001,0.8839940000000001,0.702207,0.00316347,-1,111.732,ANN-NL
clusters10,51,128000,1.79633,0.877301,0.695204,0.00316395,-1,111.684,ANN-NL
clusters10,51,128000,1.81023,0.888634,0.704195,0.0032686,-1,111.69200000000001,ANN-NL
clusters20,51,128000,1.74607,0.862251,0.6653979999999999,0.00319681,-1,107.648,ANN-NL
clusters20,51,128000,1.7244700000000002,0.857613,0.6613899999999999,0.00316358,-1,107.656,ANN-NL
clusters20,51,128000,1.7695,0.8835959999999999,0.6817300000000001,0.00312214,-1,107.544,ANN-NL
