time,sizex,sizey,sizez,filltype,fill,ndatapts,ttotal,tksearch,tfrsearch,tprocessing,interactionlistmethod
2018-12-03T23:35:08.749703,0.005,0.01,0.005,clusters20,0.512,128000,3.03834,0.0155804,0.0098445,3.00557,0
2018-12-03T23:35:12.330518,0.005,0.01,0.005,corners,0.112632,28158,26.899,0.0572323,0.04728,26.7837,0
2018-12-03T23:35:39.779879,0.005,0.01,0.005,corners,0.112632,28158,26.7464,0.0582055,0.0477578,26.6322,0
2018-12-03T23:36:07.110355,0.005,0.01,0.005,corners,0.112632,28158,26.9187,0.0590658,0.048218,26.8031,0
2018-12-03T23:36:34.543003,0.005,0.01,0.005,corners,0.0288,7200,25.3873,0.057249,0.0473391,25.2746,0
2018-12-03T23:37:00.436415,0.005,0.01,0.005,corners,0.0288,7200,25.3405,0.056473,0.0471597,25.2246,0
2018-12-03T23:37:26.294430,0.005,0.01,0.005,corners,0.0288,7200,25.4252,0.0574368,0.0471417,25.3123,0
2018-12-03T23:39:09.360891,0.005,0.01,0.005,corners,0.148176,37044,24.6834,0.0561818,0.045337,24.5718,0
2018-12-03T23:39:34.629886,0.005,0.01,0.005,corners,0.148176,37044,25.797,0.0603342,0.047187,25.6816,0
2018-12-03T23:40:01.050719,0.005,0.01,0.005,corners,0.148176,37044,25.2373,0.0603178,0.0469764,25.1214,0
2018-12-03T23:41:16.976910,0.005,0.01,0.005,full,1.0,250000,3.68177,0.0219033,0.0129482,3.63956,0
2018-12-03T23:41:22.008404,0.005,0.01,0.005,full,1.0,250000,3.48029,0.0219764,0.0128725,3.43693,0
2018-12-03T23:41:26.569816,0.005,0.01,0.005,full,1.0,250000,2.89536,0.0138429,0.00913369,2.86486,0
2018-12-03T23:41:30.015287,0.005,0.01,0.005,clusters2,0.110592,27648,16.5685,0.0407506,0.0316626,16.4882,0
2018-12-03T23:41:47.153539,0.005,0.01,0.005,clusters2,0.110592,27648,16.6912,0.0420452,0.0326918,16.6065,0
2018-12-03T23:42:04.401879,0.005,0.01,0.005,clusters2,0.110592,27648,16.6088,0.0405093,0.0319441,16.5253,0
2018-12-03T23:42:21.578949,0.005,0.01,0.005,clusters4,0.110592,27648,6.46128,0.0227433,0.0157283,6.41491,0
2018-12-03T23:42:28.599997,0.005,0.01,0.005,clusters4,0.110592,27648,6.33968,0.0214106,0.0149183,6.29105,0
2018-12-03T23:42:35.507310,0.005,0.01,0.005,clusters4,0.110592,27648,6.4519,0.023098,0.0157904,6.40423,0
2018-12-03T23:42:42.548053,0.005,0.01,0.005,clusters6,0.110592,27648,3.51189,0.0159959,0.0103029,3.47798,0
2018-12-03T23:42:46.627618,0.005,0.01,0.005,clusters6,0.110592,27648,3.56043,0.0165683,0.0104832,3.52563,0
2018-12-03T23:42:50.741644,0.005,0.01,0.005,clusters6,0.110592,27648,3.69333,0.0166422,0.0112585,3.6575,0
2018-12-03T23:42:55.271837,0.005,0.01,0.005,clusters5,0.512,128000,4.36139,0.0172681,0.0115745,4.32341,0
2018-12-03T23:43:00.473467,0.005,0.01,0.005,clusters5,0.512,128000,4.39814,0.0175174,0.0117593,4.36128,0
2018-12-03T23:43:05.753035,0.005,0.01,0.005,clusters5,0.512,128000,4.36911,0.0176086,0.0116726,4.33054,0
